Date,iOS,Android,TVOS,STV,ios_7_days,,
23-03-2023,350,2792,35,188,,,
24-03-2023,196,2501,41,165,,,
25-03-2023,192,2944,40,175,,,
26-03-2023,812,3022,25,163,,,
27-03-2023,891,3049,31,194,,,
28-03-2023,582,2983,36,142,,,
29-03-2023,701,3090,38,199,3724,,
30-03-2023,914,4457,45,175,4288,,
31-03-2023,704,2705,40,175,4796,,
01-04-2023,732,2387,25,163,5336,,
02-04-2023,779,3068,31,194,5303,,
03-04-2023,899,3407,36,142,5311,,
04-04-2023,779,2675,38,199,5508,,
05-04-2023,830,2808,0,0,5637,,
06-04-2023,720,1699,0,0,5443,,
07-04-2023,639,2330,0,0,5378,,
08-04-2023,878,3044,0,0,5524,,
09-04-2023,818,2650,0,0,5563,,
10-04-2023,923,2443,0,0,5587,,
11-04-2023,981,2456,0,0,5789,,
12-04-2023,956,2561,0,0,5915,,
13-04-2023,1040,1911,0,0,6235,,
14-04-2023,994,2168,0,0,6590,,
15-04-2023,932,2349,0,0,6644,,
16-04-2023,1107,2199,0,0,6933,,
17-04-2023,1023,2670,0,0,7033,,
18-04-2023,789,2797,0,0,6841,,
19-04-2023,800,2745,0,0,6685,,
20-04-2023,855,2716,0,0,6500,,
21-04-2023,785,2954,0,0,6291,,
22-04-2023,753,3062,0,0,6112,,
23-04-2023,914,4457,36,168,5919,,
24-04-2023,704,2705,38,218,5600,,
25-04-2023,732,2382,41,226,5543,,
26-04-2023,779,3068,45,164,5522,,
27-04-2023,671,3047,41,147,5338,,
28-04-2023,779,2675,42,179,5332,,
29-04-2023,830,2908,48,168,5409,,
30-04-2023,1022,3028,51,175,5517,,
01-05-2023,825,2535,47,166,5638,,
02-05-2023,715,2363,35,185,5621,,
03-05-2023,894,2689,51,178,5736,,
04-05-2023,671,1922,42,177,5736,,
05-05-2023,797,2451,35,154,5754,,
06-05-2023,960,2927,41,152,5884,,
07-05-2023,913,2754,43,227,5775,,
08-05-2023,715,2108,38,172,5665,,
09-05-2023,813,2553,36,430,5763,,
10-05-2023,691,2216,39,182,5560,,
11-05-2023,1749,1922,34,302,6638,,
12-05-2023,866,2512,39,186,6707,,
13-05-2023,870,2425,33,183,6617,,
14-05-2023,863,2663,44,238,6567,,
15-05-2023,931,1736,48,241,6783,,
16-05-2023,1081,2250,42,154,7051,,
17-05-2023,461,1379,38,168,6821,,
18-05-2023,504,1544,51,206,5576,,
19-05-2023,485,1815,57,184,5195,,
20-05-2023,578,2225,36,196,4903,,
21-05-2023,806,2598,48,244,4846,,
22-05-2023,188,909,20,56,4103,,
23-05-2023,640,2918,41,212,3662,,
24-05-2023,617,2273,40,242,3818,,
25-05-2023,271,1503,14,64,3585,,
26-05-2023,976,4590,34,250,4076,,
27-05-2023,386,1652,27,49,3884,,
28-05-2023,921,4335,35,221,3999,,
29-05-2023,1330,3039,51,304,5141,,
30-05-2023,785,1949,41,208,5286,,
31-05-2023,311,743,12,29,4980,,
01-06-2023,321,686,16,37,5030,,
02-06-2023,681,778,11,49,4735,,
03-06-2023,227,633,16,40,4576,,
04-06-2023,282,747,13,35,3937,,
05-06-2023,226,595,12,32,2833,,
06-06-2023,293,693,14,33,2341,,
07-06-2023,878,1701,30,129,2908,,
08-06-2023,706,1325,24,119,3293,,
09-06-2023,700,1243,33,194,3312,,
10-06-2023,794,1501,35,163,3879,,
11-06-2023,623,1229,32,145,4220,,
12-06-2023,700,1243,33,134,4694,,
13-06-2023,190,530,14,23,4591,,
14-06-2023,217,531,14,20,3930,,
15-06-2023,190,537,15,25,3414,,
16-06-2023,634,778,20,39,3348,,
17-06-2023,264,615,14,34,2818,,
18-06-2023,279,608,15,41,2474,,
19-06-2023,246,521,10,24,2020,,
20-06-2023,256,612,10,29,2086,,
21-06-2023,162,494,12,18,2031,,
22-06-2023,178,553,20,18,2019,,
23-06-2023,190,477,7,26,1575,,
